Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
4500    CARPENTER                    AV,,34.1522,-118.391,03/09/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1800.0,15.0,N Hollywood,1563.0,1.0,0385,75.0,M,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
45TH                         ST,ALAMEDA                      ST,34.0028,-118.2391,02/27/2020 12:00:00 AM,02/27/2020 12:00:00 AM,1345.0,13.0,Newton,1367.0,1.0,0906 0352 0371 0446 1822 0344 0416 0417,41.0,M,H,216.0,SWAP MEET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
600 E  MARTIN LUTHER KING JR        BL,,34.0111,-118.2653,08/21/2020 12:00:00 AM,08/21/2020 12:00:00 AM,605.0,13.0,Newton,1343.0,2.0,0329 1202,67.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
14900    ORO GRANDE                   ST,,34.2953,-118.459,11/08/2020 12:00:00 AM,11/06/2020 12:00:00 AM,1800.0,19.0,Mission,1924.0,1.0,0329 1300,61.0,M,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
7100 S  VERMONT                      AV,,33.9787,-118.2918,02/25/2020 12:00:00 AM,02/25/2020 12:00:00 AM,1130.0,12.0,77th Street,1245.0,1.0,0416 0945 1822 0400 0417 0344,0.0,X,X,401.0,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
300 N  AVENUE 57,,34.1127,-118.1942,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,256.0,11.0,Northeast,1118.0,2.0,0446 0416,50.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
1600 N  SOTO                         ST,,34.0623,-118.198,08/17/2020 12:00:00 AM,08/17/2020 12:00:00 AM,1840.0,4.0,Hollenbeck,448.0,1.0,0325,0.0,X,X,202.0,LIQUOR STORE,,,IC,Invest Cont,Property Crimes
12600    BRADDOCK                     DR,,33.9864,-118.4239,10/07/2021 12:00:00 AM,03/19/2020 12:00:00 AM,1100.0,14.0,Pacific,1455.0,1.0,1606 0344,68.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
5500    COLDWATER CA                 AV,,34.1781,-118.4179,01/28/2020 12:00:00 AM,01/26/2020 12:00:00 AM,1600.0,9.0,Van Nuys,939.0,1.0,,0.0,,,104.0,DRIVEWAY,,,IC,Invest Cont,Property Crimes
11500    AVIATION                     BL,,33.9298,-118.3784,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,445.0,14.0,Pacific,1499.0,2.0,0329 1300 1402,22.0,F,H,108.0,PARKING LOT,,,AA,Adult Arrest,Property Crimes
MASON                        AV,LASSEN                       ST,34.2536,-118.5913,01/21/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1200.0,17.0,Devonshire,1752.0,2.0,1501 0513 0514 0913 1814,22.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,Other Crimes
5800    BONSALLO                     AV,,33.9875,-118.286,06/11/2020 12:00:00 AM,06/11/2020 12:00:00 AM,1430.0,12.0,77th Street,1239.0,1.0,1822 0319 0400 0416 0429 0417 0342,22.0,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),511.0,VERBAL THREAT,IC,Invest Cont,Violent Crimes
100    THE GROVE                    DR,,34.0761,-118.3563,02/03/2020 12:00:00 AM,02/03/2020 12:00:00 AM,500.0,7.0,Wilshire,724.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
AFTON,CAHUENGA,34.0944,-118.3277,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,215.0,6.0,Hollywood,666.0,1.0,0334 2004,50.0,M,W,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,Crimes against Public Order
1600 S  GRAND                        AV,,33.7293,-118.2902,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,920.0,5.0,Harbor,563.0,1.0,0329 1100 1407 0399 1822,31.0,M,H,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,IC,Invest Cont,Crimes against Public Order
3000    JOHNSTON                     ST,,34.0805,-118.2087,07/31/2020 12:00:00 AM,07/31/2020 12:00:00 AM,1700.0,4.0,Hollenbeck,414.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
23100    SHERMAN                      WY,,34.1998,-118.63,08/17/2020 12:00:00 AM,08/17/2020 12:00:00 AM,1315.0,21.0,Topanga,2133.0,1.0,1420 0344,46.0,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
2800    WESTSHIRE                    DR,,34.1214,-118.3203,09/08/2020 12:00:00 AM,09/08/2020 12:00:00 AM,1630.0,6.0,Hollywood,627.0,2.0,0347 1822,31.0,M,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,Crimes against Public Order
3200    GRAND VIEW                   BL,,34.015,-118.4389,06/25/2020 12:00:00 AM,03/12/2020 12:00:00 AM,1400.0,14.0,Pacific,1424.0,1.0,,72.0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
700 W  OLYMPIC                      BL,,34.0444,-118.2628,09/11/2020 12:00:00 AM,09/11/2020 12:00:00 AM,105.0,1.0,Central,182.0,2.0,1822 1414 1251 0448,22.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
7900    KESTER                       AV,,34.2147,-118.4565,03/23/2020 12:00:00 AM,03/20/2020 12:00:00 AM,1530.0,19.0,Mission,1994.0,2.0,0329,26.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
CHEROKEE,SUNSET,34.098,-118.3353,02/12/2021 12:00:00 AM,02/12/2020 12:00:00 AM,2030.0,6.0,Hollywood,646.0,1.0,0400 0344,38.0,M,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
16700 W  VENTURA                      BL,,34.1613,-118.4917,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1300.0,10.0,West Valley,1078.0,1.0,,0.0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
2700 W  8TH                          ST,,34.0598,-118.2865,07/26/2020 12:00:00 AM,07/25/2020 12:00:00 AM,2300.0,20.0,Olympic,2039.0,1.0,,0.0,,,503.0,HOTEL,,,IC,Invest Cont,Property Crimes
6200    KESTER                       AV,,34.1827,-118.4575,08/26/2020 12:00:00 AM,08/24/2020 12:00:00 AM,1100.0,9.0,Van Nuys,933.0,1.0,0344,37.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
4000    TRINITY                      ST,,34.0106,-118.2704,10/29/2020 12:00:00 AM,10/28/2020 12:00:00 AM,2230.0,13.0,Newton,1354.0,2.0,0913,42.0,F,H,101.0,STREET,,,AO,Adult Other,Crimes against Public Order
6000    LASAINE                      AV,,34.179,-118.5105,06/14/2020 12:00:00 AM,06/13/2020 12:00:00 AM,2130.0,10.0,West Valley,1047.0,1.0,1822 0344,40.0,M,H,707.0,GARAGE/CARPORT,,,AO,Adult Other,Property Crimes
6200 S  RIMPAU                       BL,,33.9836,-118.3397,12/27/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1800.0,12.0,77th Street,1231.0,1.0,1300 0341 0385 0344 1822,53.0,M,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
NORDHOFF,ORION,34.2337,-118.463,09/17/2020 12:00:00 AM,09/17/2020 12:00:00 AM,730.0,19.0,Mission,1972.0,1.0,2000 1309 1814 1310 0913 0906 0416,31.0,F,H,101.0,STREET,307.0,VEHICLE,AA,Adult Arrest,Violent Crimes
BALBOA,TULSA,34.2684,-118.5022,06/19/2020 12:00:00 AM,06/18/2020 12:00:00 AM,2100.0,17.0,Devonshire,1735.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
4200    MURIETTA                     AV,,34.1464,-118.4383,06/04/2020 12:00:00 AM,04/01/2020 12:00:00 AM,1200.0,9.0,Van Nuys,985.0,2.0,0100 0928 1822,60.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
