"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","ncRHuf","r3PLsf","ncRHuf 2","wA1Bge src","r3PLsf 2","ncRHuf 3","rllt__details 3","rllt__details 4"
"Titik tenang coffee","· Coffee shop","4,8","(46)","Banjarmasin City, South Kalimantan","Dine-in","·","Takeaway","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnOl-tEBpNxDfFGNLgzoK3U_8a6vqXECfUAPF8S2X8DLleVY9X7B9r9OI_ktzP4yeQQhlAnfJORyMhbmPCkzIYIJskRjLjvF-W1sZsGeR0anEpz2CDult3YyLs-fvQyIqKAj26ezXz2ygY=w92-h92-n-k-no","","","",""
"miracle.coffeee","· Coffee shop","4,6","(287)","Banjarmasin City, South Kalimantan","Dine-in","·","Takeaway","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnkb7MHfw1WVDzfPSbVr8fxIHclM7JogXXK2RuUX-_AZYWLrgY8xVbUBkSnzqhwdzdRVhtK7ax3azduqpIr7Cp097Io0Wp4OOVnhjAP0JP3Y6WRKc1c1fnztiJQRckmVmvaJ1ts=w92-h92-n-k-no","·","No-contact delivery","",""
"Mi.u Coffee","· Coffee shop","5,0","(29)","Banjarmasin City, South Kalimantan","Dine-in","·","Drive-through","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnPDIQV102xPGdiPfEoQW-ddiBmAwcochN9-L3Y4HqGnhLK8hbf_WNvePiUnE7yXiGS5U4ORjN2MSKlS3-AYhV3kh8_7Ot30qO417LIobnYbI0taQlHEO01Gfb15xcfPRuwYe1VGcjyi-3_=w92-h92-n-k-no","·","Delivery","",""
"Spaceground Coffee and Eatery","· Coffee shop","4,6","(284)","Banjarmasin City, South Kalimantan","Dine-in","·","Takeaway","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkc4bkwM_6r3bUNz0XZ2N37rYv42CPq_Nj9AlcBMaX-tlX038WN75uUnSa_QER94C8bYqAxAazjo_WE5YPRpfVX7WJ0TPF2jSKkx0J_EWPmVu-bjDGnuZm66sd6qS1xxQ2n6QfBNQ=w92-h92-n-k-no","·","Delivery","",""
"Golden Brew","· Coffee shop","4,4","(361)","Banjarmasin City, South Kalimantan","Dine-in","·","Takeaway","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnhLTxWO-IMAiUSyZ-AIE9khOaaGPusbniIJH21nrt40bdIrT4IY_XUOtqSwf6I4YsrohZYxRXmsQTxjGWBC3QRJUO7eHF1MVsU6fh245aWYc9k5umg1StmB4F9DMyQ-hY7TUKGqA=w92-h92-n-k-no","","","",""
"LaMajesty Coffee","· Coffee shop","4,2","(247)","Banjarmasin City, South Kalimantan","Dine-in","·","Takeaway","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmHC3SbQXE-3qY6cw0FqkiiiJ4L533jhLJXj3tKSuRT0mlhL-flR2QRJZmaDXibf5Z9daOmqHAsrHi4o1WMmb_FGQ53QAVyhH4w5dzQz_GqlaUaVJMgk3WqQfRSh7e5vhqLMESzuZNlZqOm=w92-h92-n-k-no","","","",""
"Kubiek Coffee and Eatery","· Coffee shop","4,7","(135)","Banjarmasin City, South Kalimantan","Dine-in","·","Takeaway","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkSpBgKP77GKDYYno7Q28bHCibffxlnMFta9xNZ0kxIdAdnbeWqymTvh0oLv-tpDSSRAcFy-dzoTIvjX-5JGUYkIBH3qZiWSi-HJTcL5gwDwhHG1RkqDFOj_697LSDFfz_fHVq8qcYEVelb=w92-h92-n-k-no","","","",""
"DJF Coffee","·  · Coffee shop","4,8","(59)","Banjarmasin City, South Kalimantan","Dine-in","·","Takeaway","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk0pRjyLpqJzWPjbbh8GviVEIe0xCeQvpIIupEoixSzX47FbzSyktYlqF70tfaGJj8HsieOP2YNfYFAIqaI4fvZRBaKvl7PujwHB5aUI8Rf45yxnsaJCvGBPuR3GnywDv4sKul6Og=w92-h92-n-k-no","·","No-contact delivery","Rp 1–50.000",""
"101 COFFEE (KM.5 SLM)","·  · Coffee shop","4,6","(180)","Banjarmasin City, South Kalimantan","Dine-in","·","Drive-through","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm1Kb-cAe-d5Yy-qhU81gdhxWk9l8T6sDmv8wKgEEHaLME_pA-zCwjN5jEhtUFd_MLGTQmgd3GpORGyv7visyGd3tnloyUgGCppAKKbDgdLwBa0LdVIb8Dmn2ZwOgW6XfPn7oJlbA=w92-h92-n-k-no","","","Rp 1–50.000",""
"Kopi 1815","· Coffee shop","4,5","(732)","Banjarmasin City, South Kalimantan","Dine-in","·","Takeaway","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWku_Kp2j0ci28TG0e8yN5ZiAmLBaGO_fJ6htUN-OD244GtywKHjaMmU3udsxY1BTKemA-ADuZ22DzCC2W67O4JDcoT5vjHw568sezT_JyMgvFjX7apS4z-EnWN0lBON7_bORGs=w92-h92-n-k-no","·","No-contact delivery","",""
